player,position,team,opponent,salary
Teagan Quitoriano,TE,HOU,TEN,2500
Pharaoh Brown,TE,SEA,ARI,2500
Jaheim Bell,TE,NE,MIA,2500
Davis Allen,TE,LAR,PHI,2500
Chris Manhertz,TE,NYG,TB,2500
Jody Fortson,TE,KC,CAR,2500
Princeton Fant,TE,DAL,WAS,2500
Bears,DST,CHI,MIN,2500
Jake Tonges,TE,SF,GB,2500
Kylen Granson,TE,IND,DET,2500
Tucker Fisk,TE,LAC,BAL,2500
Tanner Conner,TE,MIA,NE,2500
Geoff Swaim,TE,CLE,PIT,2500
Colson Yankoff,TE,WAS,DAL,2500
Andrew DePaola,TE,MIN,CHI,2500
Greg Dulcich,TE,DEN,LV,2500
Cade Stover,TE,HOU,TEN,2500
Tyler Davis,TE,GB,SF,2500
Shane Zylstra,TE,DET,IND,2500
Hunter Long,TE,LAR,PHI,2500
Evan Deckers,TE,TB,NYG,2500
Jared Wiley,TE,KC,CAR,2500
John Stephens,TE,DAL,WAS,2500
Patrick Scales,TE,CHI,MIN,2500
Brayden Willis,TE,SF,GB,2500
Mo Alie-Cox,TE,IND,DET,2500
Travis Vokolek,TE,ARI,SEA,2500
Jack Stoll,TE,MIA,NE,2500
MyCole Pruitt,TE,PIT,CLE,2500
Ben Sinnott,TE,WAS,DAL,2500
Nick Muse,TE,MIN,CHI,2500
Lucas Krull,TE,DEN,LV,2500
David Martin-Robinson,TE,TEN,HOU,2500
Luke Musgrave,TE,GB,SF,2500
Jelani Woods,TE,IND,DET,2500
Hayden Hurst,TE,LAC,BAL,2500
Devin Culp,TE,TB,NYG,2500
Peyton Hendershot,TE,KC,CAR,2500
Brevyn Spann-Ford,TE,DAL,WAS,2500
Stephen Carlson,TE,CHI,MIN,2500
Cowboys,DST,DAL,WAS,2400
Giants,DST,NYG,TB,2400
Colts,DST,IND,DET,2300
Titans,DST,TEN,HOU,2300
Panthers,DST,CAR,KC,2200
